DateTime,Name,Country,Volatility,Actual,Previous,Consensus
01/01/2010 00:00:00,New Year's Day,Japan,0,,,
01/01/2010 00:00:00,New Year's Day,Canada,0,,,
01/01/2010 00:00:00,New Year's Day,Switzerland,0,,,
01/01/2010 00:00:00,New Year's Day,United Kingdom,0,,,
01/01/2010 00:00:00,New Year's Day,Australia,0,,,
01/01/2010 00:00:00,New Year's Day,United States,0,,,
01/01/2010 00:00:00,New Year's Day,Germany,0,,,
01/02/2010 00:00:00,Bank Holiday,Switzerland,0,,,
01/02/2010 00:00:00,Bank Holiday,Japan,0,,,
01/03/2010 00:00:00,Bank Holiday,Japan,0,,,
01/03/2010 22:30:00,AiG Performance of Mfg Index,Australia,1,51.000,48.500,
01/04/2010 08:30:00,SVME - Purchasing Managers' Index,Switzerland,2,53.700,56.900,56.500
01/04/2010 08:55:00,Markit Manufacturing PMI,Germany,2,52.700,52.400,53.100
01/04/2010 09:00:00,Markit Manufacturing PMI,European Monetary Union,1,51.600,51.600,51.600
01/04/2010 09:30:00,Net Lending to Individuals (MoM),United Kingdom,1,1.200,0.500,0.600
01/04/2010 09:30:00,Markit Manufacturing PMI,United Kingdom,2,54.100,54.600,51.500
01/04/2010 09:30:00,Sentix Investor Confidence,European Monetary Union,1,-3.700,-5.500,-3.400
01/04/2010 09:30:00,Mortgage Approvals,United Kingdom,1,60.520,57.720,57.800
01/04/2010 09:30:00,M4 Money Supply (YoY),United Kingdom,1,9.200,9.200,
01/04/2010 09:30:00,M4 Money Supply (MoM),United Kingdom,1,0.100,0.000,
01/04/2010 15:00:00,ISM Manufacturing PMI,United States,2,54.900,53.600,54.200
01/04/2010 15:00:00,Construction Spending (MoM),United States,1,-0.600,-0.500,-0.200
01/04/2010 23:50:00,Monetary Base (YoY),Japan,1,5.200,3.800,3.500
01/05/2010 00:38:07,HIA New Home Sales (MoM),Australia,1,0.300,-6.000,
01/05/2010 08:55:00,Unemployment Rate s.a.,Germany,1,8.100,8.200,8.100
01/05/2010 08:55:00,Unemployment Change,Germany,2,-26.000,-5.000,5.000
01/05/2010 09:30:00,PMI Construction,United Kingdom,1,47.100,47.000,47.800
01/05/2010 10:00:00,Consumer Price Index (YoY),European Monetary Union,2,0.900,0.500,0.900
01/05/2010 13:30:00,Raw Material Price Index,Canada,2,2.200,2.500,1.500
01/05/2010 13:30:00,Industrial Product Price (MoM),Canada,1,0.800,-0.400,0.500
01/05/2010 15:00:00,Pending Home Sales (MoM),United States,2,-16.400,3.900,-2.000
01/05/2010 15:00:00,Factory Orders (MoM),United States,2,1.000,0.800,0.500
01/06/2010 00:30:00,Building Permits (YoY),Australia,1,41.120,17.150,
01/06/2010 00:30:00,Building Permits (MoM),Australia,0,10.140,-2.910,3.100
01/06/2010 08:55:00,Markit Services PMI,Germany,2,52.700,53.100,53.100
01/06/2010 09:00:00,Markit Services PMI,European Monetary Union,1,53.600,53.700,53.700
01/06/2010 09:30:00,BRC Shop Price Index (YoY),United Kingdom,1,2.200,0.200,
01/06/2010 09:30:00,Markit Services PMI,United Kingdom,1,56.800,56.600,57.000
01/06/2010 10:00:00,Industrial New Orders (YoY),European Monetary Union,1,-0.200,-14.700,-11.100
